movieId,title,genre,plot,index
e2c24a50-e70d-442e-b071-12ef1c3db7cb,The Shadow Legacy vs. Destiny: Reckoning,War,The mystery of a lovers embarks on a dangerous mission in a dream world.,1
f7da84a3-b184-4ab5-a285-2becf9de001f,An Lost Empire of Dreams: Origins,Horror,The rise and fall of a city challenges destiny in a time-traveling train.,2
e5545c29-d3f8-4075-af8e-b1e3dffe89ba,An Lost Kingdom in Time: Origins,Adventure,The rise and fall of a detective discovers a hidden power in a dream world.,3
837d9bde-2167-44fe-9fe8-79e3c1ab3172,The Hidden Empire of Magic Begins,Western,A lone thieves embarks on a dangerous mission in a distant galaxy.,4
1fa41dea-3d9e-4c7d-a0e2-de1a9c64ad59,A Forgotten Empire of Time: Reckoning,Animation,The mystery of a detective is not what it seems in a post-apocalyptic wasteland.,5
f0ded4b9-e3f3-41dd-afde-9ade6e3cd446,The Lost City and the Dreams Begins,Drama,The quest for a artist seeks revenge in a medieval kingdom.,6
9b3f4d04-a6fd-44fb-a711-dec2ff1c6d2b,A Forgotten Empire vs. Dreams Returns,Comedy,When a artist tries to save the world in a haunted mansion.,7
12a5948c-cf87-433c-8f46-f73a518b3392,An Forgotten Kingdom in Destiny Returns,Music,A group of ancient prophecy faces their past in a dream world.,8
006f765c-4e25-4e1e-9fae-01f9138730ed,The Forgotten World vs. Steel: Origins,Adventure,The rise and fall of a city confronts their fears in a desert planet.,9
05ad1d36-a30d-4c13-87f8-721019e71cc3,An Lost City of Magic: Origins,Drama,An unlikely team of clowns faces their past in a post-apocalyptic wasteland.,10
